T29,Patents,,,,,
246,Finland,2005,Patents in force (number),"39,450",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2010,Patents in force (number),"46,622",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2020,Patents in force (number),"55,898",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2021,Patents in force (number),"56,847",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2022,Patents in force (number),"56,468",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,1985,Resident patent filings (per million population),213,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,1995,Resident patent filings (per million population),209,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2005,Resident patent filings (per million population),354,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2010,Resident patent filings (per million population),373,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2020,Resident patent filings (per million population),346,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2021,Resident patent filings (per million population),355,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2022,Resident patent filings (per million population),358,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,1985,Grants of patents (number),"24,195",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,1995,Grants of patents (number),"17,918",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2005,Grants of patents (number),"11,473",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2010,Grants of patents (number),"9,899",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2020,Grants of patents (number),"12,874",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2021,Grants of patents (number),"15,493",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2022,Grants of patents (number),"12,421",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2005,Patents in force (number),"343,568",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2010,Patents in force (number),"435,915",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2020,Patents in force (number),"674,334",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2021,Patents in force (number),"703,342",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
250,France,2022,Patents in force (number),"718,197",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
266,Gabon,2005,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
266,Gabon,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
266,Gabon,2021,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
266,Gabon,2022,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2005,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2020,Grants of patents (number),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2021,Grants of patents (number),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2022,Grants of patents (number),45,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2020,Patents in force (number),539,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2021,Patents in force (number),563,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
270,Gambia,2022,Patents in force (number),639,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,1995,Resident patent filings (per million population),62,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2005,Resident patent filings (per million population),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2010,Resident patent filings (per million population),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2020,Resident patent filings (per million population),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2021,Resident patent filings (per million population),24,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2022,Resident patent filings (per million population),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,1995,Grants of patents (number),133,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2005,Grants of patents (number),320,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2010,Grants of patents (number),258,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2020,Grants of patents (number),152,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2021,Grants of patents (number),128,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2022,Grants of patents (number),122,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2005,Patents in force (number),"1,040",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2010,Patents in force (number),"1,044",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2020,Patents in force (number),910,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2021,Patents in force (number),898,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
268,Georgia,2022,Patents in force (number),892,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,1985,Resident patent filings (per million population),415,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,1995,Resident patent filings (per million population),467,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,2005,Resident patent filings (per million population),875,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,2010,Resident patent filings (per million population),910,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,2020,Resident patent filings (per million population),820,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
276,Germany,2021,Resident patent filings (per million population),790,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
